"","Station","Grid.ID","LAT","LON","Gear.Sampled","Mean_Z"
"132",131,"HB171",57.0168,-155.012,"BONGO",138.959677419355
"133",132,"GZ171",57.1316,-155.2291,"BONGO",225.701149425287
"134",133,"GX171",57.2464,-155.4469,"BONGO",251.634285714286
"135",134,"GV171",57.3612,-155.6653,"BONGO",270.709677419355
"136",135,"GV173",57.4821,-155.4521,"BONGO",284.238095238095
"137",136,"GX173",57.3674,-155.2344,"BONGO",234.126213592233
"138",137,"GZ173",57.2526,-155.0173,"BONGO",205.317365269461
"139",138,"HB173",57.1378,-154.8008,"BONGO",67.9069767441861
"140",139,"GZ175",57.3735,-154.8047,"BONGO",60.3454545454545
"141",140,"GX175",57.4883,-155.0212,"BONGO",222.487341772152
"142",141,"GV175",57.6031,-155.2383,"BONGO",270.5375
"143",142,"FOX61",57.72,-155.26,"LINE8",195.588235294118
"144",143,"FOX60",57.68,-155.17,"LINE8",277.783068783069
"145",144,"FOX59",57.64,-155.07,"LINE8",241.627659574468
"146",145,"FOX58",57.61,-155.01,"LINE8",226.848039215686
"147",146,"FOX57",57.55,-154.88,"LINE8",217.862244897959
"148",147,"FOX56",57.52,-154.78,"LINE8",196.934010152284
"149",148,"GX177",57.6093,-154.8073,"BONGO",211.483516483516
"150",149,"GX179",57.7302,-154.5927,"BONGO",205.465408805031
"151",150,"GX181",57.8512,-154.3773,"BONGO",203.808510638298
"152",151,"GX183",57.9721,-154.1612,"BONGO",198.664670658683
"153",152,"GX185",58.0931,-153.9444,"BONGO",190.593023255814
"154",153,"GX187",58.2141,-153.7269,"BONGO",181.441176470588
"155",154,"GX189",58.335,-153.5086,"BONGO",307.253333333333
"156",155,"GX191",58.456,-153.2895,"BONGO",167.553719008264
"157",156,"GX193",58.5769,-153.0697,"BONGO",153.386363636364
"158",157,"GX195",58.6979,-152.8492,"BONGO",148.695652173913
"159",158,"GX197",58.8188,-152.6279,"BONGO",190.514285714286
"160",159,"GX199",58.9398,-152.4058,"BONGO",103.936708860759
"161",160,"GZ199",58.825,-152.1978,"BONGO",111.666666666667
"162",161,"GX201",59.0607,-152.1829,"BONGO",134.975
"163",162,"GZ203",59.0669,-151.7527,"BONGO",71.5714285714286
"164",163,"HB205",59.0731,-151.3238,"BONGO",41.7105263157895
"165",164,"HD205",58.9583,-151.1192,"BONGO",164.157534246575
"166",165,"HF205",58.8435,-150.9151,"BONGO",150.8
"167",166,"HH205",58.7287,-150.7115,"BONGO",180
"168",167,"HJ205",58.614,-150.5086,"BONGO",197
"169",168,"HL205",58.4992,-150.3061,"BONGO",79.1060606060606
"170",169,"HL203",58.3782,-150.5254,"BONGO",61.1
"171",170,"HJ203",58.493,-150.7286,"BONGO",82.7464788732394
"172",171,"HH203",58.6078,-150.9323,"BONGO",178.714285714286
"173",172,"HF203",58.7226,-151.1366,"BONGO",166.29347826087
"174",173,"HD203",58.8374,-151.3414,"BONGO",118.018518518519
"175",174,"HB203",58.9521,-151.5468,"BONGO",82.7474747474748
"176",175,"HB201",58.8312,-151.7689,"BONGO",112.26
"177",176,"HD201",58.7164,-151.5629,"BONGO",165.141843971631
"178",177,"HF201",58.6016,-151.3573,"BONGO",153.964912280702
"179",178,"HH201",58.4868,-151.1523,"BONGO",85.3282442748092
"180",179,"HJ201",58.372,-150.9479,"BONGO",55.9777777777778
"181",180,"HL201",58.2573,-150.7439,"BONGO",60.1149425287356
"182",181,"HB199",58.7102,-151.9903,"BONGO",134.181102362205
"183",182,"HD199",58.5954,-151.7835,"BONGO",163.606557377049
"184",183,"HD197",58.4745,-152.0034,"BONGO",90.4766355140187
"185",184,"HF199",58.4807,-151.5772,"BONGO",154.208
"186",185,"HF197",58.3597,-151.7964,"BONGO",40.0425531914894
"187",186,"HH199",58.3659,-151.3715,"BONGO",113.047619047619
"188",187,"HH197",58.2449,-151.59,"BONGO",59.8
"189",188,"HJ199",58.2511,-151.1664,"BONGO",150.978947368421
"190",189,"HL199",58.1363,-150.9617,"BONGO",133.095238095238
"191",190,"HN199",58.0215,-150.7577,"BONGO",130.042553191489
"192",191,"HP199",57.9047,-150.5473,"BONGO",121.727272727273
"193",192,"HP197",57.7854,-150.76,"BONGO",76.9411764705882
"194",193,"HN197",57.9006,-150.9741,"BONGO",67.4137931034483
"195",194,"HL197",58.0153,-151.1788,"BONGO",71.2222222222222
"196",195,"HJ197",58.1301,-151.3841,"BONGO",117.040816326531
"197",196,"HH195",58.124,-151.8077,"BONGO",63.1428571428571
"198",197,"HJ195",58.0092,-151.6012,"BONGO",86.7777777777778
"199",198,"HL195",57.8944,-151.3952,"BONGO",62.7179487179487
"200",199,"HN195",57.7796,-151.1897,"BONGO",61.4657534246575
"201",200,"HP195",57.6656,-150.9728,"BONGO",71.4736842105263
"202",201,"HP193",57.5455,-151.1857,"BONGO",63.7446808510638
"203",202,"HN193",57.6586,-151.4047,"BONGO",57.0967741935484
"204",203,"HL193",57.7734,-151.6108,"BONGO",39.3689320388349
"205",204,"HJ193",57.8882,-151.8175,"BONGO",55.9411764705882
"206",205,"HH193",58.003,-152.0247,"BONGO",160.619047619048
