,Station,Grid.ID,LAT,LON,Gear.Sampled,Mean_Z,BONGO_Time,CTD_Time,LINE8_Time,Total_Gear_Time
138,137,GZ173,57.2526,-155.0173,BONGO,215.3173653,0.446620971,0,0,0.446620971
139,138,HB173,57.1378,-154.8008,BONGO,77.90697674,0.23502096,0,0,0.23502096
140,139,GZ175,57.3735,-154.8047,BONGO,70.34545455,0.221916049,0,0,0.221916049
141,140,GX175,57.4883,-155.0212,BONGO,232.4873418,0.446620971,0,0,0.446620971
142,141,GV175,57.6031,-155.2383,BONGO,280.5375,0.446620971,0,0,0.446620971
143,142,FOX61,57.72,-155.26,LINE8,205.5882353,0,0,1.138515228,1.138515228
144,143,FOX60,57.68,-155.17,LINE8,287.7830688,0,0,1.345657871,1.345657871
145,144,FOX59,57.64,-155.07,LINE8,251.6276596,0,0,1.25454111,1.25454111
146,145,FOX58,57.61,-155.01,LINE8,236.8480392,0,0,1.21729437,1.21729437
147,146,FOX57,57.55,-154.88,LINE8,227.8622449,0,0,1.194648893,1.194648893
148,147,FOX56,57.52,-154.78,LINE8,206.9340102,0,0,1.141906772,1.141906772
149,148,GX177,57.6093,-154.8073,BONGO,221.4835165,0.446620971,0,0,0.446620971
150,149,GX179,57.7302,-154.5927,BONGO,215.4654088,0.446620971,0,0,0.446620971
151,150,GX181,57.8512,-154.3773,BONGO,213.8085106,0.446620971,0,0,0.446620971
152,151,GX183,57.9721,-154.1612,BONGO,208.6646707,0.446620971,0,0,0.446620971
153,152,GX185,58.0931,-153.9444,BONGO,200.5930233,0.446620971,0,0,0.446620971
154,153,GX187,58.2141,-153.7269,BONGO,191.4411765,0.431787633,0,0,0.431787633
155,154,GX189,58.335,-153.5086,BONGO,317.2533333,0.446620971,0,0,0.446620971
156,155,GX191,58.456,-153.2895,BONGO,177.553719,0.407719213,0,0,0.407719213
157,156,GX193,58.5769,-153.0697,BONGO,163.3863636,0.3831657,0,0,0.3831657
158,157,GX195,58.6979,-152.8492,BONGO,158.6956522,0.375036205,0,0,0.375036205
159,158,GX197,58.8188,-152.6279,BONGO,200.5142857,0.446620971,0,0,0.446620971
160,159,GX199,58.9398,-152.4058,BONGO,113.9367089,0.297464263,0,0,0.297464263
161,160,GZ199,58.825,-152.1978,BONGO,121.6666667,0.310861091,0,0,0.310861091
162,161,GX201,59.0607,-152.1829,BONGO,144.975,0.351256876,0,0,0.351256876
163,162,GZ203,59.0669,-151.7527,BONGO,81.57142857,0.241371839,0,0,0.241371839
164,163,HB205,59.0731,-151.3238,BONGO,51.71052632,0.189619764,0,0,0.189619764
165,164,HD205,58.9583,-151.1192,BONGO,174.1575342,0.401833268,0,0,0.401833268
166,165,HF205,58.8435,-150.9151,BONGO,160.8,0.378683261,0,0,0.378683261
167,166,HH205,58.7287,-150.7115,BONGO,190,0.429289923,0,0,0.429289923
168,167,HJ205,58.614,-150.5086,BONGO,207,0.446620971,0,0,0.446620971
169,168,HL205,58.4992,-150.3061,BONGO,89.10606061,0.254430146,0,0,0.254430146
170,169,HL203,58.3782,-150.5254,BONGO,71.1,0.223223755,0,0,0.223223755
171,170,HJ203,58.493,-150.7286,BONGO,92.74647887,0.260739373,0,0,0.260739373
172,171,HH203,58.6078,-150.9323,BONGO,188.7142857,0.427061645,0,0,0.427061645
173,172,HF203,58.7226,-151.1366,BONGO,176.2934783,0.405535083,0,0,0.405535083
174,173,HD203,58.8374,-151.3414,BONGO,128.0185185,0.321869516,0,0,0.321869516
175,174,HB203,58.9521,-151.5468,BONGO,92.74747475,0.260741099,0,0,0.260741099
176,175,HB201,58.8312,-151.7689,BONGO,122.26,0.3118894,0,0,0.3118894
177,176,HD201,58.7164,-151.5629,BONGO,175.141844,0.40353918,0,0,0.40353918
178,177,HF201,58.6016,-151.3573,BONGO,163.9649123,0.384168386,0,0,0.384168386
179,178,HH201,58.4868,-151.1523,BONGO,95.32824427,0.265213843,0,0,0.265213843
180,179,HJ201,58.372,-150.9479,BONGO,65.97777778,0.214346407,0,0,0.214346407
181,180,HL201,58.2573,-150.7439,BONGO,70.11494253,0.221516547,0,0,0.221516547
182,181,HB199,58.7102,-151.9903,BONGO,144.1811024,0.349880969,0,0,0.349880969
183,182,HD199,58.5954,-151.7835,BONGO,173.6065574,0.400878368,0,0,0.400878368
184,183,HD197,58.4745,-152.0034,BONGO,100.4766355,0.274136545,0,0,0.274136545
185,184,HF199,58.4807,-151.5772,BONGO,164.208,0.384589682,0,0,0.384589682
186,185,HF197,58.3597,-151.7964,BONGO,50.04255319,0.186728992,0,0,0.186728992
187,186,HH199,58.3659,-151.3715,BONGO,123.047619,0.313254426,0,0,0.313254426
188,187,HH197,58.2449,-151.59,BONGO,69.8,0.220970719,0,0,0.220970719
189,188,HJ199,58.2511,-151.1664,BONGO,160.9789474,0.378993395,0,0,0.378993395
190,189,HL199,58.1363,-150.9617,BONGO,143.0952381,0.347999052,0,0,0.347999052
191,190,HN199,58.0215,-150.7577,BONGO,140.0425532,0.342708429,0,0,0.342708429
192,191,HP199,57.9047,-150.5473,BONGO,131.7272727,0.328297176,0,0,0.328297176
193,192,HP197,57.7854,-150.76,BONGO,86.94117647,0.250678175,0,0,0.250678175
194,193,HN197,57.9006,-150.9741,BONGO,77.4137931,0.234166221,0,0,0.234166221
195,194,HL197,58.0153,-151.1788,BONGO,81.22222222,0.240766628,0,0,0.240766628
196,195,HJ197,58.1301,-151.3841,BONGO,127.0408163,0.320175056,0,0,0.320175056
197,196,HH195,58.124,-151.8077,BONGO,73.14285714,0.226764241,0,0,0.226764241
198,197,HJ195,58.0092,-151.6012,BONGO,96.77777778,0.267726037,0,0,0.267726037
199,198,HL195,57.8944,-151.3952,BONGO,72.71794872,0.22602783,0,0,0.22602783
200,199,HN195,57.7796,-151.1897,BONGO,71.46575342,0.223857644,0,0,0.223857644
