Station,Grid ID,Latitude(N), Longitude (W),Gear Sampled
212,hd201,58.7164,151.5629,NEU
213,hb201,58.8312,151.7689,
214,hb199,58.7102,151.9903,
215,hd199,58.5954,151.7835,
216,hd197,58.4745,152.0034,
217,hf199,58.4807,151.5772,
218,hf197,58.3597,151.7964,
219,hh199,58.3659,151.3715,
220,hh197,58.2449,151.59,
221,hj199,58.2511,151.1664,
222,hl199,58.1363,150.9617,
223,hn199,58.0215,150.7577,
224,hp199,57.9047,150.5473,
225,hp197,57.7854,150.76,
226,hn197,57.9006,150.9741,
227,hl197,58.0153,151.1788,
228,hj197,58.1301,151.3841,
229,hh195,58.124,151.8077,
230,hj195,58.0092,151.6012,
231,hl195,57.8944,151.3952,
232,hn195,57.7796,151.1897,
233,hp195,57.6656,150.9728,
234,hp193,57.5455,151.1857,
235,hn193,57.6586,151.4047,
236,hl193,57.7734,151.6108,
237,hj193,57.8882,151.8175,
238,hh193,58.003,152.0247,
239,hj191,57.7673,152.033,
240,hl191,57.6525,151.8257,
241,hn191,57.5377,151.6189,
242,hp191,57.4249,151.3986,
243,hp189,57.3039,151.6114,
244,hn189,57.4167,151.8324,
245,hl189,57.5315,152.0398,
246,hl187,57.4106,152.2533,
247,hn187,57.2958,152.0452,
248,hp187,57.1826,151.8243,NEU
249,hp185,57.0608,152.0371,NEU
250,hn185,57.1748,152.2573,NEU
251,hl185,57.2896,152.466,NEU
252,hl183,57.1686,152.6781,NEU
253,hn183,57.0539,152.4687,NEU
254,hp183,56.9386,152.25,NEU
255,hp181,56.8161,152.4629,NEU
256,hn181,56.9329,152.6794,NEU
257,hl181,57.0477,152.8895,NEU
258,hl179,56.9267,153.1002,NEU
259,hn179,56.812,152.8894,NEU
260,hp179,56.6931,152.6757,NEU
261,hp177,56.5728,152.8833,NEU
262,hn177,56.691,153.0988,NEU
263,hl177,56.8058,153.3102,NEU
264,hl175,56.6848,153.5195,NEU
265,hn175,56.57,153.3075,NEU
266,hp175,56.4501,153.0944,NEU
267,hp173,56.332,153.2968,NEU
268,hn173,56.4491,153.5155,NEU
269,hl173,56.5639,153.7281,
270,hj173,56.6787,153.9414,
271,Kodiak,57.78385,152.4267,
