"Species","MeanCPUE","Year","CPUE_SE","Common_Name2"
"Gadus chalcogrammus",56.0453017207717,2019,8.88219962057775,"Walleye pollock"
"Gadus macrocephalus",5.08140009487427,1981,1.70557060060713,"Pacific cod"
"Gadus macrocephalus",0.561897214604215,1982,0.561897214604215,"Pacific cod"
"Gadus macrocephalus",5.13145182876296,1983,2.50591386007449,"Pacific cod"
"Gadus macrocephalus",9.85165999584826,1985,2.28801109243217,"Pacific cod"
"Gadus macrocephalus",1.48899672951092,1987,0.891765945869252,"Pacific cod"
"Gadus macrocephalus",1.63219412512529,1988,0.381472349755863,"Pacific cod"
"Gadus macrocephalus",45.0486176451816,1989,14.9099831179264,"Pacific cod"
"Gadus macrocephalus",21.6410197469678,1990,3.87907407496392,"Pacific cod"
"Gadus macrocephalus",13.1403522623622,1991,6.20729806743506,"Pacific cod"
"Gadus macrocephalus",48.9176583274531,1992,9.61518177249136,"Pacific cod"
"Gadus macrocephalus",6.82317922090187,1993,2.63633729592514,"Pacific cod"
"Gadus macrocephalus",12.8843403713299,1994,3.06118615164916,"Pacific cod"
"Gadus macrocephalus",36.9243126610449,1995,11.778725538897,"Pacific cod"
"Gadus macrocephalus",6.31991584518461,1996,1.76100683822584,"Pacific cod"
"Gadus macrocephalus",17.315015838924,1997,3.83520190325702,"Pacific cod"
"Gadus macrocephalus",1.80109194927347,1998,0.662253774001738,"Pacific cod"
"Gadus macrocephalus",7.43293476092996,1999,2.55737513157236,"Pacific cod"
"Gadus macrocephalus",11.142883898871,2000,3.7519037470612,"Pacific cod"
"Gadus macrocephalus",7.28216013738222,2001,1.52008306376154,"Pacific cod"
"Gadus macrocephalus",10.8110954599068,2002,2.59385159007781,"Pacific cod"
"Gadus macrocephalus",2.23733230171094,2003,0.637632689101187,"Pacific cod"
"Gadus macrocephalus",2.41742239184044,2004,1.06206021831832,"Pacific cod"
"Gadus macrocephalus",0.901340678023022,2005,0.450447246697908,"Pacific cod"
"Gadus macrocephalus",13.6517747869599,2006,2.95817405398937,"Pacific cod"
"Gadus macrocephalus",14.8184933566687,2007,3.19052710068038,"Pacific cod"
